packet_count,byte_count,unique_ips,unique_ports,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_count,udp_count,icmp_count
1448,642047,20,45,80,1372,68,1412,36,0
2044,765501,21,45,88,1988,88,2032,12,0
1742,659695,21,49,80,1666,80,1706,36,0
1736,660938,21,54,100,1642,104,1692,44,0
1608,736528,19,43,56,1538,56,1566,42,0
2056,896407,20,50,84,1970,84,2012,44,0
2480,896381,21,70,168,2358,184,2442,38,0
1840,507840,20,53,120,1742,124,1802,38,0
1096,215896,17,47,92,986,80,1032,64,0
1252,315752,21,44,96,1166,84,1214,36,0
1366,369200,18,48,96,1280,100,1328,38,0
1998,607608,18,53,128,1920,136,1984,14,0
1510,409183,18,46,124,1432,124,1494,16,0
2046,525318,19,59,144,1932,148,2004,42,0
1760,454710,19,57,140,1656,140,1726,34,0
1558,429440,19,53,140,1458,144,1528,30,0
1608,416428,18,63,144,1476,148,1548,60,0
2098,479482,17,60,168,1990,172,2074,24,0
1734,420020,20,50,108,1660,116,1714,20,0
1106,203788,14,55,112,994,92,1050,56,0
1628,372226,20,52,98,1550,92,1600,28,0
3248,1607627,21,66,152,3132,144,3208,40,0
3062,1845666,25,50,80,3004,92,3044,16,0
2002,1283014,19,42,92,1932,32,1978,24,0
2408,1300537,19,64,144,2292,100,2364,44,0
2266,1283527,21,60,108,2172,108,2226,40,0
2754,1865618,20,56,96,2666,96,2714,40,0
3136,1970938,20,65,132,3018,140,3084,52,0
2216,1326870,19,61,92,2118,112,2164,52,0
2584,1291708,21,64,120,2482,140,2542,42,0
2638,1469768,19,62,72,2548,120,2584,54,0
3472,2250414,20,52,76,3394,104,3432,40,0
2980,1561870,23,61,108,2902,132,2956,24,0
2234,663892,21,58,128,2146,136,2210,24,0
1941,656556,19,57,128,1845,128,1909,32,0
2114,1086394,20,44,104,2044,100,2096,16,0
2532,1511502,21,47,104,2454,88,2506,24,0
2532,943116,22,65,152,2430,164,2506,26,0
1404,416060,18,56,140,1300,132,1370,34,0
1802,459372,17,67,180,1680,176,1770,32,0
2116,1204352,17,56,128,2024,120,2088,28,0
2186,907776,20,63,124,2076,136,2138,48,0
1898,600776,21,68,144,1786,136,1858,40,0
2546,1402382,22,51,92,2470,96,2516,28,2
2040,946948,16,51,68,1968,92,2002,38,0
1798,486250,17,61,108,1692,116,1746,52,0
1650,572024,18,45,72,1586,56,1622,28,0
2078,615046,21,63,140,1984,140,2054,24,0
1852,514102,23,64,128,1752,140,1816,36,0
858,347910,20,30,52,818,48,844,12,0
1530,326480,20,65,128,1398,128,1462,68,0
2392,778788,21,64,154,2282,144,2358,34,0
2216,858182,22,55,120,2124,128,2184,32,0
1962,790456,20,46,100,1892,104,1942,20,0
2376,897376,20,66,148,2260,144,2334,42,0
2158,709478,20,69,156,2040,164,2118,40,0
1720,541380,20,62,136,1614,136,1682,38,0
1258,392734,20,53,84,1154,76,1196,62,0
1544,516070,18,57,100,1450,112,1500,44,0
1344,557276,19,38,56,1286,52,1314,30,0
2080,634580,17,56,132,1994,128,2060,20,0
2070,1310084,20,46,100,1992,96,2042,28,0
1450,671232,20,47,104,1372,104,1424,24,0
1414,435142,19,53,120,1314,128,1374,40,0
1764,588094,22,61,116,1676,124,1734,30,0
1808,501678,21,61,148,1694,152,1768,38,2
1412,334734,19,51,140,1300,116,1370,40,2
1442,352214,20,58,120,1322,116,1382,60,0
1292,267926,20,54,112,1188,120,1244,48,0
1890,931622,19,48,100,1816,108,1866,24,0
2502,1494112,18,48,80,2436,96,2476,26,0
1588,621832,19,52,104,1492,104,1544,44,0
1852,481806,20,53,104,1748,96,1800,52,0
2282,1164478,17,47,84,2196,80,2238,44,0
2284,1253952,20,58,120,2182,116,2242,42,0
1898,1043892,22,42,84,1838,80,1880,16,0
2082,1046724,19,54,112,1992,104,2048,32,0
2002,895784,22,58,128,1898,132,1962,40,0
1488,394578,20,53,140,1390,140,1460,28,0
1526,395070,17,55,144,1430,152,1502,24,0
1850,494628,19,61,172,1736,168,1822,28,0
1568,446084,18,56,148,1462,132,1536,32,0
1476,480894,22,56,108,1378,100,1432,44,0
1234,419324,18,49,96,1146,100,1194,40,0
1644,564724,21,54,124,1546,132,1608,36,0
1734,576682,19,54,128,1638,128,1702,32,0
1322,378982,17,41,92,1244,84,1290,32,0
1974,599798,20,57,128,1882,136,1946,28,0
1430,551134,17,43,60,1376,52,1406,24,0
1670,620160,20,49,56,1576,60,1604,64,0
1724,507860,20,52,100,1638,96,1688,36,0
1858,594671,17,55,116,1776,108,1834,24,0
1670,526184,21,59,104,1574,120,1626,44,0
2586,1408322,16,49,128,2506,128,2570,16,0
1634,818448,18,47,92,1540,92,1586,48,0
1596,519934,21,47,100,1518,108,1568,28,0
1676,596442,22,50,88,1614,88,1658,18,0
1440,469524,20,53,72,1344,72,1380,60,0
1502,519003,22,52,84,1422,84,1464,38,0
1814,981190,20,51,96,1712,88,1760,54,0
2422,1439026,20,57,120,2314,120,2374,48,0
2368,1123202,19,61,140,2274,140,2344,24,0
2108,1090676,23,47,100,2032,88,2082,24,0
2236,1016954,18,52,88,2152,92,2196,40,0
1848,596024,19,65,124,1726,136,1788,60,0
814,254140,17,40,44,718,32,740,74,0
1800,444862,22,60,144,1698,152,1770,30,0
2156,1037654,17,52,104,2062,104,2114,42,0
1824,1182624,17,44,52,1738,60,1764,60,0
1650,713199,22,43,84,1596,88,1638,12,0
2442,1449957,20,56,124,2344,124,2406,36,0
2136,1199066,18,48,80,2048,76,2088,48,0
1602,633659,20,44,72,1522,68,1558,44,0
1956,719478,22,58,120,1862,132,1922,34,0
1270,482580,20,44,56,1210,72,1238,32,0
1664,717044,24,54,100,1560,104,1610,52,0
1232,700330,22,37,56,1178,44,1206,24,0
1462,528280,20,51,96,1398,108,1446,16,0
1206,437924,17,38,64,1166,76,1198,8,0
1230,358702,19,42,68,1160,60,1194,36,0
2288,1376140,21,44,76,2214,64,2252,36,0
2518,1351032,23,43,76,2456,48,2494,24,0
2662,1489130,22,44,52,2618,52,2644,18,0
2978,1710746,21,49,64,2918,76,2950,28,0
2076,1350023,19,37,52,2022,44,2048,28,0
1936,1222138,17,31,48,1896,32,1920,16,0
1776,1082214,18,40,42,1700,40,1720,56,0
2626,1899714,21,45,48,2550,44,2574,52,0
2890,1777136,21,47,60,2834,56,2864,26,0
2798,1484940,27,55,72,2746,96,2782,14,0
2596,1327122,19,50,80,2532,88,2572,24,0
2382,1328776,18,49,64,2318,76,2350,32,0
2334,1120306,21,55,72,2270,80,2306,28,0
968,249788,22,44,76,910,52,948,20,0
986,238944,20,48,66,914,52,946,40,0
1976,724304,23,62,92,1888,84,1944,32,0
1830,586732,23,73,114,1704,84,1780,50,0
1372,409180,24,56,102,1280,60,1342,30,0
1064,449905,21,43,82,1000,48,1056,8,0
1502,563667,21,58,98,1424,72,1488,14,0
1410,385040,23,52,94,1330,56,1394,16,0
1656,407676,23,56,98,1570,76,1634,22,0
1580,559242,28,66,112,1474,72,1546,32,0
1028,337102,23,53,94,936,40,1000,28,0
1236,351576,25,59,100,1142,48,1208,28,0
1412,482510,21,57,80,1340,76,1388,24,0
1568,484540,21,62,80,1492,80,1532,36,0
1228,413262,22,56,64,1164,68,1196,32,0
1282,426030,24,62,64,1196,68,1228,54,0
1350,421240,24,55,72,1288,68,1324,26,0
890,255274,22,49,60,832,48,862,28,0
2912,1454934,24,67,84,2838,124,2880,32,0
2780,1669904,24,58,56,2710,100,2738,42,0
1508,374938,21,47,68,1444,68,1478,30,0
2212,1166968,19,55,68,2130,76,2164,48,0
1880,1037734,26,48,60,1794,48,1824,54,0
1394,821596,24,37,52,1350,60,1376,16,0
1574,912546,19,34,56,1534,64,1562,12,0
1774,1015370,19,33,54,1732,60,1758,16,0
2050,1051112,20,47,72,1990,68,2026,24,0
2042,1177084,18,42,64,1998,68,2030,12,0
1854,1035616,20,36,52,1788,48,1814,20,0
1764,986118,20,35,48,1722,44,1746,18,0
1834,966558,19,39,52,1776,56,1802,32,0
1678,761164,20,37,52,1636,56,1662,16,0
1586,688322,18,41,60,1528,60,1558,28,0
1910,1201429,21,44,40,1830,48,1850,60,0
1848,992326,21,42,56,1780,56,1808,40,0
1156,633582,22,44,52,1064,36,1090,66,0
1044,480408,27,45,40,956,36,976,66,0
1984,862758,21,55,64,1898,68,1930,54,0
1772,849900,23,50,56,1714,68,1742,30,0
1486,618092,24,41,56,1432,52,1460,26,0
1992,900729,23,44,64,1944,72,1976,16,0
1850,898882,21,48,72,1798,72,1834,16,0
1588,761644,22,44,72,1532,64,1568,20,0
1534,705800,22,50,84,1456,72,1498,36,0
1266,519548,21,39,56,1222,64,1250,16,0
1226,439787,20,46,52,1156,52,1182,44,0
1956,777501,19,47,68,1914,84,1948,8,0
1990,875482,22,41,66,1950,74,1982,8,0
1760,758687,22,40,60,1720,60,1750,10,0
1114,590298,26,38,48,1048,44,1072,40,0
1750,786946,23,50,68,1690,84,1724,26,0
998,562011,18,28,48,958,44,982,16,0
1254,627832,20,48,60,1160,56,1190,64,0
1580,790378,22,55,64,1500,76,1532,48,0
1664,810002,20,38,52,1598,48,1624,40,0
1790,833442,20,45,60,1726,52,1756,34,0
1538,860530,24,39,72,1480,56,1516,22,0
3042,2137894,22,41,68,2988,76,3022,20,0
1992,1036553,24,50,68,1914,64,1948,44,0
1758,941776,21,46,56,1690,56,1718,40,0
2962,1902526,21,45,60,2918,64,2948,14,0
1946,1172885,21,47,56,1880,56,1908,38,0
1988,1116403,22,38,52,1934,52,1960,26,0
2050,1240729,25,48,64,1992,68,2024,24,0
1876,1076281,21,36,44,1830,48,1852,24,0
2012,1145399,21,49,56,1932,64,1960,52,0
2040,1253734,21,38,52,1990,56,2016,24,0
2556,1536532,20,54,96,2488,80,2536,20,0
3492,2567498,19,53,84,3418,92,3460,32,0
2618,1727352,23,49,64,2564,78,2596,22,0
1816,1193168,19,35,52,1770,40,1796,20,0
2230,1625646,22,38,52,2190,56,2216,14,0
1808,1333392,23,48,56,1734,60,1762,46,0
2060,1257688,24,49,72,1998,68,2034,26,0
2766,1784667,22,55,80,2678,60,2718,48,0
3804,2792883,25,46,56,3762,60,3790,14,0
3314,2450922,28,54,60,3236,68,3266,46,0
3022,2117877,21,50,52,2954,72,2980,42,0
2624,1798085,22,57,64,2532,80,2564,60,0
2018,1219952,20,49,56,1950,60,1978,40,0
878,438904,20,36,48,802,32,826,52,0
1672,737296,22,45,64,1618,64,1650,22,0
1218,580237,21,44,60,1164,68,1194,24,0
720,423008,18,34,36,650,36,668,52,0
1632,738808,20,50,64,1552,60,1584,48,0
2256,1145582,23,53,76,2214,88,2252,4,0
1940,907286,24,60,102,1862,88,1912,28,0
3328,2340140,22,59,84,3234,84,3276,52,0
1544,1038518,21,48,56,1460,52,1488,56,0
1126,383716,26,42,52,1062,48,1088,36,0
2276,1399792,20,50,72,2208,58,2244,32,0
2741,1603542,19,61,88,2653,96,2697,44,0
3428,2311474,20,53,84,3326,92,3368,44,0
2368,1372076,20,44,64,2318,76,2350,4,0
2130,1110365,20,46,64,2076,76,2108,20,0
1602,895947,22,46,68,1534,72,1568,34,0
1460,782604,27,46,56,1382,56,1410,50,0
1810,858286,19,46,62,1744,76,1774,36,0
1256,505589,19,35,48,1200,48,1224,32,0
1096,539205,18,33,44,1038,40,1060,36,0
1180,624694,18,32,52,1138,56,1164,16,0
1366,580516,20,46,72,1294,64,1330,36,0
3090,2261597,24,40,76,3034,60,3072,16,0
3260,2029474,24,53,72,3194,84,3230,28,0
2454,1602435,22,44,56,2390,52,2418,36,0
2616,1571071,20,49,72,2564,76,2600,16,0
2222,1024160,25,60,80,2158,100,2198,24,0
1464,463818,22,40,60,1422,76,1452,12,0
718,110372,17,32,50,644,36,670,48,0
1356,428706,22,40,68,1308,76,1342,14,0
1338,440916,21,46,66,1260,76,1294,44,0
1210,359158,21,57,86,1118,92,1162,48,0
1590,478076,19,51,72,1502,88,1538,52,0
1320,450082,23,45,80,1260,80,1300,20,0
1114,217526,20,45,86,1040,80,1082,32,0
1346,378642,20,53,70,1270,72,1304,42,0
1222,364538,27,54,68,1128,72,1162,58,0
1606,564374,23,51,76,1526,72,1564,42,0
1844,1037968,23,47,58,1764,56,1794,50,0
2568,1555860,21,43,68,2514,72,2548,20,0
1560,859008,21,46,70,1504,76,1540,20,0
1430,819582,20,38,62,1368,46,1398,32,0
1938,1002950,25,46,62,1866,72,1896,42,0
2850,1741528,25,53,90,2778,68,2824,26,0
3642,2278820,25,63,84,3552,88,3594,48,0
1958,1095500,25,66,88,1854,76,1898,60,0
2182,1168726,25,65,92,2108,96,2154,28,0
1440,891860,27,54,76,1372,60,1410,30,0
1574,774108,26,50,64,1516,72,1548,26,0
1810,1056856,28,58,76,1732,76,1770,38,0
2042,1219118,26,56,68,1976,72,2010,32,0
1882,985904,26,63,72,1790,80,1826,56,0
1586,986032,22,61,62,1486,68,1516,70,0
1688,966650,26,54,80,1616,64,1656,32,0
1444,788762,24,48,54,1378,76,1406,38,0
2246,1244936,26,48,76,2198,80,2236,10,0
744,370174,19,22,28,728,24,742,2,0